epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1469.02,0.83409,0.54748,0.86693,0.94983,0.97533,0.98717,0.78369,0.75048,0.49134,0.88047,0.0014456,0.0014456,0.0014456
44,1502.28,0.81543,0.54499,0.86912,0.94458,0.98137,0.98607,0.79688,0.71891,0.46774,0.88351,0.0014324,0.0014324,0.0014324
45,1535.31,0.82526,0.54169,0.86102,0.96287,0.95152,0.98383,0.79501,0.7214,0.49383,0.87148,0.0014192,0.0014192,0.0014192
46,1568.46,0.81875,0.54066,0.85475,0.95721,0.94896,0.98508,0.79999,0.70668,0.5224,0.88976,0.001406,0.001406,0.001406
47,1601.63,0.82907,0.53469,0.85819,0.93598,0.9697,0.97957,0.79811,0.68465,0.48941,0.85797,0.0013928,0.0013928,0.0013928
48,1634.64,0.77916,0.5208,0.85075,0.96884,0.94216,0.98549,0.78281,0.76058,0.48967,0.87297,0.0013796,0.0013796,0.0013796
49,1668.12,0.78833,0.52604,0.86592,0.96699,0.94848,0.98885,0.80316,0.7082,0.48448,0.86886,0.0013664,0.0013664,0.0013664
50,1701.2,0.79475,0.52532,0.86067,0.9582,0.96364,0.98404,0.80053,0.71505,0.4991,0.89661,0.0013532,0.0013532,0.0013532
51,1734.17,0.7817,0.51791,0.85207,0.93736,0.97576,0.98489,0.78828,0.74234,0.49129,0.87539,0.00134,0.00134,0.00134
52,1767.38,0.78255,0.51539,0.85162,0.93412,0.94534,0.97681,0.76368,0.77978,0.52782,0.90519,0.0013268,0.0013268,0.0013268
53,1800.38,0.79642,0.51448,0.86553,0.96505,0.9697,0.98962,0.81291,0.71234,0.4753,0.86202,0.0013136,0.0013136,0.0013136
54,1834.08,0.81355,0.54005,0.86242,0.95223,0.97879,0.98462,0.79911,0.73451,0.48189,0.86628,0.0013004,0.0013004,0.0013004
55,1867.15,0.78692,0.51885,0.85191,0.87457,0.97273,0.97048,0.79446,0.69256,0.56474,0.86538,0.0012872,0.0012872,0.0012872
56,1900.05,0.80141,0.52469,0.85932,0.92048,0.98219,0.98691,0.79362,0.70587,0.49216,0.8682,0.001274,0.001274,0.001274
57,1933.33,0.81534,0.53088,0.86487,0.97831,0.95669,0.98911,0.78955,0.72438,0.46712,0.87343,0.0012608,0.0012608,0.0012608
